raw_text_examples,normalized_suggestion,occurrences,example_recipe_ids,notes
"آب لیمو: ۱ قاشق غذاخوری","آب لیمو:","1","99",""
"جعفری تازه خرد شده: ۲ قاشق غذاخوری","جعفری تازه خرد شده:","1","99",""
"خامه: ۳۰۰ میلی‌لیتر","خامه: میلی‌","1","99",""
"۲۰۰ گرم ورمیشل","ورمیشل","1","621",""
"۲ قاشق غذاخوری خامه یا آب‌لیمو","خامه یا آب‌لیمو","1","621",""
"روغن، نمک و فلفل به مقدار لازم","روغن نمک و فلفل","1","621",""
"۱ دسته کوچک پیازچه خرد شده","دسته کوچک پیازچه خرد شده","1","532",""
"۱/۳ فنجان آب سرد","/ فنجان آب سرد","1","532",""
"برنج: یک کیلوگرم","برنج: یک کیلو","1","346",""
"مرغ: متوسط یک عدد","مرغ: متوسط یک","1","346",""
"ماست: ۷۵۰ گرم","ماست:","1","346",""
"زرده تخم‌مرغ: چهار عدد","زرده تخم‌مرغ: چهار","1","346",""
"زعفران ساییده: دو قاشق چایخوری","زعفران ساییده: دو","1","346",""
"نمک و ادویه: به مقدار مورد نیاز","نمک و ادویه: به مقدار مورد نیاز","1","346",""
"۲ عدد سیب‌زمینی بزرگ، پوست‌گرفته و برش‌خورده به شکل چیپس","سیب‌زمینی بزرگ پوست‌گرفته و برش‌خورده به شکل چیپس","1","1419",""
"۲۵۰ گرم سالامی، خردشده","سالامی خردشده","1","1419",""
"پنیر موزارلا، به میزان دلخواه","پنیر موزارلا به میزان","1","1419",""
"۹۰۰ گرم کدو حلوایی، پوست‌گرفته و مکعبی خردشده","کدو حلوایی پوست‌گرفته و مکعبی خردشده","1","559",""
"۱ عدد ماهیچه گوسفندی با استخوان","ماهیچه گوسفندی با استخوان","1","883",""
"۱ عدد سینه مرغ با استخوان","سینه مرغ با استخوان","1","883",""
"نصف پیمانه آب زعفران","نصف آب زعفران","1","883",""
"آب، نمک و فلفل سیاه به میزان لازم","آب نمک و فلفل سیاه","1","883",""
"نخودفرنگی برای تزیین و طعم ملایم","نخودفرنگی  و طعم ملایم","1","883",""
"برگه زردآلو خشک","برگه زردآلو خشک","1","883",""
"کلم قرمز، نازک خلالی","کلم قرمز نازک خلالی","1","883",""
"سیب‌زمینی پخته یا آب‌پز","سیب‌زمینی پخته یا آب‌پز","1","883",""
"۲ عدد تره‌فرنگی، نازک حلقه‌شده","تره‌فرنگی نازک حلقه‌شده","1","573",""
"۲ عدد کدو سبز، ریز خردشده","کدو سبز ریز خردشده","1","573",""
"۱ کیلوگرم گوجه‌فرنگی، خردشده","کیلو گوجه‌فرنگی خردشده","1","573",""
"۴۰۰ گرم نخود پخته یا کنسروی، آبکش‌شده","نخود پخته یا کنسروی آبکش‌شده","1","573",""
"۲۲۵ گرم اسفناج، خردشده","اسفناج خردشده","1","573",""
"۲۵ گرم پنیر پارمزان، ورقه‌ای نازک","پنیر پارمزان ورقه‌ای نازک","1","573",""
"نصف پیمانه فلفل دلمه‌ای","نصف فلفل دلمه‌ای","1","149",""
"۱ دست کله پاچه یا ۱ زبان گوسفند","دست کله پاچه یا زبان گوسفند","1","151",""
"۴ عدد پاچه گوسفند یا پاچه کنسروی","پاچه گوسفند یا پاچه کنسروی","1","151",""
"۱۵۰ گرم زردآلو خشک","زردآلو خشک","1","151",""
"۱ قاشق غذاخوری پولیو","پولیو","1","151",""
"۱ قاشق غذاخوری پودر گلپر","پودر گلپر","1","151",""
"۱ فنجان آبگوشت کله","فنجان آبگوشت کله","1","151",""
"۴ عدد فلفل دلمه‌ای سبز درشت","فلفل دلمه‌ای سبز درشت","1","1336",""
"روغن زیتون، به مقدار لازم برای روی غذا","روغن زیتون  برای روی غذا","1","1336",""
"۵۰۰ گرم هویج، خلالی بسیار نازک","هویج خلالی بسیار نازک","1","628",""
"۲ عدد توت‌فرنگی، ریز خردشده","توت‌فرنگی ریز خردشده","1","628",""
"۵۰۰ گرم شلغم، خلالی","شلغم خلالی","1","628",""
"کلم سفید، نازک برش‌خورده","کلم سفید نازک برش‌خورده","1","628",""
"۱ بوته کاهو، خردشده","بوته کاهو خردشده","1","628",""
"شکر، یک پنس کوچک","شکر یک پنس کوچک","1","628",""
"استاک گوشت گاو به مقدار لازم","استاک گوشت گاو","1","628",""
"دانه فلفل سیاه تازه – ۲ قاشق غذاخوری، درشت کوبیده‌شده","دانه فلفل سیاه تازه درشت کوبیده‌شده","1","1154",""
"استیک گوشت گاو – ۲ عدد (هرکدام حدود ۲۵۰ گرم)","استیک گوشت گاو عدد (هرکدام حدود )","1","1154",""
"روغن زیتون – ۲ قاشق چای‌خوری","روغن زیتون قاشق چای‌خوری","1","1154",""
"آب استاک گوشت – ۳ قاشق غذاخوری","آب استاک گوشت","1","1154",""
"آب‌لیمو تازه – ½ قاشق غذاخوری","آب‌لیمو تازه ½","1","1154",""
"گوشت: 300 گرم","گوشت:","1","101",""
"خامه: دو سوم پیمانه","خامه: دو سوم","1","101",""
"فلفل: نصف قاشق چایخوری","فلفل: نصف","1","101",""
"جعفری: به مقدار کم","جعفری: به مقدار کم","1","101",""
"۱ عدد پیاز سفید کوچک، ریز خردشده","پیاز سفید کوچک ریز خردشده","1","629",""
"½ قاشق غذاخوری کرفس خردشده","½ کرفس خردشده","1","629",""
"۳ پیمانه روغن بادام‌زمینی","روغن بادام‌زمینی","1","629",""
"بادام‌زمینی برشته و بدون نمک، خردشده (برای تزیین)","بادام‌زمینی برشته و بدون نمک خردشده ()","1","629",""
"⅓ قاشق غذاخوری نمک کرفس","⅓ نمک کرفس","1","629",""
"۳ تا ۴ هویج خلال شده","تا هویج خلال شده","1","153",""
"۱ فنجان پیاز داغ","فنجان پیاز داغ","1","153",""
"ادویه‌ها شامل دارچین، زیره سیاه، زیره سبز، فلفل، زردچوبه و دانه‌های گشنیز به مقدار لازم","ادویه‌ها شامل دارچین زیره سیاه زیره سبز فلفل زردچوبه و دانه‌های گشنیز","1","153",""
"۲ حبه سیر بزرگ، ریز خردشده","سیر بزرگ ریز خردشده","1","578",""
"برگ کرفس تازه، برای تزیین","برگ کرفس تازه","1","578",""
"½ قاشق غذاخوری نمک","½ نمک","1","1153",""
"¼ پیمانه جعفری خردشده","¼ جعفری خردشده","1","1153",""
"½ قاشق چای‌خوری پودر سیر و آویشن","½ قاشق چای‌خوری پودر سیر و آویشن","1","1153",""
"½ پیمانه فلفل دلمه‌ای خردشده","½ فلفل دلمه‌ای خردشده","1","1153",""
"1 عدد هویج پخته، نگینی","هویج پخته نگینی","1","1153",""
"1 عدد سیب‌زمینی متوسط پخته، نگینی","سیب‌زمینی متوسط پخته نگینی","1","1153",""
"1 کیلو فیله مرغ پخته شده","کیلو فیله مرغ پخته شده","1","148",""
"1/4 لیوان گلاب","/4 گلاب","1","148",""
"1/2 لیوان شربت یا شهد مربای خلال پرتغال","/2 شربت یا شهد مربای خلال پرتغال","1","148",""
"300 گرم خلال پرتغال شیرین شده","خلال پرتغال شیرین شده","1","148",""
"برنج - ۳ فنجان (۶۰۰ گرم)","برنج فنجان ( )","1","154",""
"آب - ۳ فنجان (۶۰۰ میلی‌لیتر)","آب فنجان ( میلی‌)","1","154",""
"نمک یا به میزان دلخواه - ۱/۵ قاشق چای‌خوری","نمک یا به میزان  / قاشق چای‌خوری","1","154",""
"آب گوجه‌فرنگی - ۱/۵ فنجان (۳۰۰ میلی‌لیتر)","آب گوجه‌فرنگی / فنجان ( میلی‌)","1","154",""
"سیب‌زمینی خلال ریز شده - ۱/۵ فنجان (از یک سیب‌زمینی بزرگ)","سیب‌زمینی خلال ریز شده / فنجان (از یک سیب‌زمینی بزرگ)","1","154",""
"عصاره گوشت یا آب گوشت - ۲ مکعب یا ۳ فنجان","عصاره گوشت یا آب گوشت مکعب یا فنجان","1","154",""
"ادویه‌جات: دارچین، نمک، زعفران","ادویه‌جات: دارچین نمک زعفران","1","156",""
"کالباس یا سوسیس ورقه‌شده","کالباس یا سوسیس ه‌شده","1","1388",""
"فلفل تند تازه - ۱ عدد","فلفل تند تازه","1","155",""
"لیمو ترش تازه - ۱ عدد","لیمو ترش تازه","1","155",""
"فلفل دلمه رنگی - ۲ قاشق غذاخوری خرد شده","فلفل دلمه رنگی خرد شده","1","155",""
"دانه ذرت شیرین","دانه ذرت شیرین","1","582",""
"۲۵۰ گرم فیله گوساله پاک‌شده","فیله گوساله پاک‌شده","1","1146",""
"۴۰ گرم زیتون سبز یا سیاه","زیتون سبز یا سیاه","1","1146",""
"کمی روغن اضافی در صورت نیاز","روغن اضافی در صورت نیاز","1","1146",""
"آبِ استخوان – ۱ گالن","آبِ استخوان گالن","1","630",""
"پیاز – ۵ کیلوگرم، ریز خردشده","پیاز کیلو ریز خردشده","1","630",""
"کلم – ۵ کیلوگرم، نازک خلال‌شده","کلم کیلو نازک خلال‌شده","1","630",""
"چغندر – ۵۰۰ گرم، پوست‌گرفته و رنده یا ریز خردشده","چغندر پوست‌گرفته و رنده یا ریز خردشده","1","630",""
"آبِ چغندر – ۳ پیمانه","آبِ چغندر","1","630",""
"خامه ترش – به میزان دلخواه، برای سرو","خامه ترش به میزان  برای سرو","1","630",""
"1/2 کیلوگرم نخود","/2 کیلو نخود","1","478",""
"1 پیمانه گشنیز خرد شده","گشنیز خرد شده","1","478",""
"1 قاشق غذاخوری گشنیز آسیاب شده","گشنیز آسیاب شده","1","478",""
"1 قاشق چای‌خوری بیکینگ پودر","قاشق چای‌خوری بیکینگ پودر","1","478",""
"۵ عدد سیب‌زمینی، آب‌پز و پوست‌کنده","سیب‌زمینی آب‌پز و پوست‌کنده","1","1143",""
"نصف قاشق چای‌خوری پودر سیر","نصف قاشق چای‌خوری پودر سیر","1","1143",""
"۱ پیمانه پودر نان","پودر نان","1","869",""
"۱/۲ پیمانه مارگارین ذوب‌شده","/ مارگارین ذوب‌شده","1","869",""
"۱ و ۱/۲ پیمانه بادام‌زمینی بو داده و آسیاب‌شده","و / بادام‌زمینی بو داده و آسیاب‌شده","1","869",""
"۲ قاشق غذاخوری زنجبیل خرد یا له‌شده","زنجبیل خرد یا له‌شده","1","869",""
"۱ قاشق چای‌خوری تمر هندی","قاشق چای‌خوری تمر هندی","1","869",""
"۵۰۰ گرم برنج نیم‌پز","برنج نیم‌پز","1","158",""
"۳۰۰ گرم ماست چکیده ترش","ماست چکیده ترش","1","158",""
"مرغ یا گوشت پخته، اختیاری","مرغ یا گوشت پخته اختیاری","1","158",""
"۳۰۰ گرم اسفناج پخته","اسفناج پخته","1","158",""
"۱ قاشق غذاخوری شیر هموژنیزه سرد","شیر هموژنیزه سرد","1","1331",""
"۲٫۵ قاشق غذاخوری شکر","٫ شکر","1","1331",""
"¼ پیمانه گلاب","¼ گلاب","1","1331",""
"۱ عدد فلفل چیلی","فلفل چیلی","1","632",""
"۰٫۴ قاشق چای‌خوری فلفل سفید","٫ قاشق چای‌خوری فلفل سفید","1","632",""
"۱ پیمانه ذرت زرد پخته","ذرت زرد پخته","1","632",""
"۴ برگ کلم قرمز برای تزیین","برگ کلم قرمز","1","632",""
"۱ عدد موسیر کامل","موسیر کامل","1","1423",""
"۱ برگ کاغذ روغنی","برگ کاغذ روغنی","1","1423",""
"نیم کیلو برنج","نیم کیلو برنج","1","180",""
"۱ عدد فلفل دلمه","فلفل دلمه","1","180",""
"۱ عدد پیاز، درشت رنده‌شده","پیاز درشت رنده‌شده","1","1192",""
"۱.۵ پیمانه خرده نان باگت",". خرده نان باگت","1","1192",""
"نمک، فلفل سیاه و پودر کاری به مقدار لازم","نمک فلفل سیاه و پودر کاری","1","1192",""
"روغن مایع بدون بو (مانند کانولا) برای سرخ کردن","روغن مایع بدون بو (مانند کانولا) برای سرخ کردن","1","1192",""
"کمی آرد برای پوشاندن کلوچه‌ها","آرد برای پوشاندن کلوچه‌ها","1","1192",""
"۲۰۰ گرم یا ۱ پیمانه برنج","گرم یا برنج","1","171",""
"۱/۴ قاشق چایخوری زعفران ساییده","/ زعفران ساییده","1","171",""
"فیله گوساله (تورندو)، حدود ۱۲ مدالیون کوچک و گرد","فیله گوساله (تورندو) حدود مدالیون کوچک و گرد","1","1188",""
"کره یا روغن زیتون، به مقدار لازم برای سرخ کردن","کره یا روغن زیتون  برای سرخ کردن","1","1188",""
"قارچ دکمه‌ای سفید، ورقه‌شده","قارچ دکمه‌ای سفید ه‌شده","1","1188",""
"برگ آویشن تازه","برگ آویشن تازه","1","1188",""
"یک عدد فلفل دلمه ای کوچک قرمز","یک فلفل دلمه ای کوچک قرمز","1","41",""
"یک عدد فلفل دلمه ای کوچک سبز","یک فلفل دلمه ای کوچک سبز","1","41",""
"نصف فلفل دلمه ای زرد","نصف فلفل دلمه ای زرد","1","41",""
"یک فنجان قارچ","یک فنجان قارچ","1","41",""
"یک فنجان کدو حلوایی خرد شده","یک فنجان کدو حلوایی خرد شده","1","41",""
"یک فنجان کدو سبز خرد شده","یک فنجان کدو سبز خرد شده","1","41",""
"یک حبه سیر","یک سیر","1","41",""
"سه عدد گوجه فرنگی خرد شده","سه گوجه فرنگی خرد شده","1","41",""
"یک چهارم فنجان پنیر پارمسان","یک چهارم فنجان پنیر پارمسان","1","41",""
"زعفران خشک - ۱ قاشق چایخوری","زعفران خشک","1","163",""
"۱ کیلوگرم سردست گوسفندی، خردشده","کیلو سردست گوسفندی خردشده","1","992",""
"۲ قاشق چای‌خوری ادویه کاری","قاشق چای‌خوری ادویه کاری","1","1396",""
"روغن زیتون (به میزان لازم برای سرخ کردن سطحی)","روغن زیتون ( برای سرخ کردن سطحی)","1","1396",""
"۱ قاشق چای‌خوری کچاپ تند","قاشق چای‌خوری کچاپ تند","1","1396",""
"پنیر پیتزای رنده‌شده (اختیاری، برای سرو)","پنیر پیتزای رنده‌شده (اختیاری برای سرو)","1","1396",""
"۱ عدد بادمجان متوسط، خردشده به مکعب‌های ۲.۵ سانتی‌متری","بادمجان متوسط خردشده به مکعب‌های . سانتی‌متری","1","692",""
"¼ قاشق چای‌خوری زنجبیل آسیاب‌شده","¼ قاشق چای‌خوری زنجبیل آسیاب‌شده","1","692",""
"۱ قاشق چای‌خوری مخلوط سبزی خشک (پونه کوهی و رزماری)","قاشق چای‌خوری مخلوط سبزی خشک (پونه کوهی و رزماری)","1","692",""
"حدود ۱۲ ورق لازانیا","حدود لازانیا","1","692",""
"۲۵ گرم (حدود ۲ قاشق غذاخوری) آرد سفید","گرم (حدود ) آرد سفید","1","692",""
"1 عدد کلم سفید کامل","کلم سفید کامل","1","633",""
"2 عدد هویج، پوست‌کنده و حلقه‌ای","هویج پوست‌کنده و حلقه‌ای","1","633",""
"250 گرم گوشت گوساله، خردشده درشت","گوشت گوساله خردشده درشت","1","633",""
"نان سرخ‌شده در کره، برای تزیین","نان سرخ‌شده در کره","1","633",""
"زردچوبه – مقدار کم","زردچوبه مقدار کم","1","1426",""
"½ پیمانه آب مرغ","½ آب مرغ","1","598",""
"۱ و ۱/۲ پیمانه برنج آربوریو","و / برنج آربوریو","1","1465",""
"۴ پیمانه آب مرغ یا آب سبزیجات، گرم","آب مرغ یا آب سبزیجات گرم","1","1465",""
"۱/۲ پیمانه شراب سفید خشک","/ شراب سفید خشک","1","1465",""
"۲ قاشق غذاخوری کره بدون نمک (تقسیم‌شده)","کره بدون نمک (تقسیم‌شده)","1","1465",""
"۱/۲ قاشق چای‌خوری رشته زعفران","/ قاشق چای‌خوری رشته زعفران","1","1465",""
"۴ عدد سیب‌زمینی بزرگ (حدود ۱۰۰۰ گرم)، پوست‌گرفته و خردشده","عدد سیب‌زمینی بزرگ (حدود ) پوست‌گرفته و خردشده","1","1330",""
"۱/۲ پیمانه شیر هموژنیزه","/ شیر هموژنیزه","1","1330",""
"۲ عدد سیب‌زمینی بزرگ، پوست‌کنده و نازک برش‌خورده","سیب‌زمینی بزرگ پوست‌کنده و نازک برش‌خورده","1","1333",""
"۱ قاشق غذاخوری کره یا روغن، به‌همراه مقداری بیشتر برای چرب‌کردن قالب","کره یا روغن به‌همراه  بیشتر برای چرب‌کردن قالب","1","1405",""
"۱ عدد پیاز کوچک، رنده‌شده (فقط آب پیاز)","پیاز کوچک رنده‌شده (فقط آب پیاز)","1","1405",""
"ارده (Tahini) – ۲ قاشق غذاخوری","ارده (Tahini)","1","1428",""
"پودر سیر – ۱ قاشق چای‌خوری","پودر سیر قاشق چای‌خوری","1","1428",""
"۱ عدد فیله کامل گوشت خوک بدون استخوان (حدود ۲٫۵ تا ۳ کیلوگرم)","عدد فیله کامل گوشت خوک بدون استخوان (حدود ٫ تا کیلو)","1","1521",""
"۲ قاشق غذاخوری دانه رازیانه","دانه رازیانه","1","1521",""
"¼ پیمانه رزماری تازه خردشده","¼ رزماری تازه خردشده","1","1521",""
"¼ پیمانه مریم‌گلی تازه خردشده","¼ مریم‌گلی تازه خردشده","1","1521",""
"نخ مخصوص آشپزی","نخ مخصوص آشپزی","1","1521",""
"سویا (پروتئین گیاهی بافت‌دار)","سویا (پروتئین گیاهی بافت‌دار)","1","1433",""
"پودر زعفران","پودر زعفران","1","1433",""
"۲۰ گرم ماکارونی ریز (مانند سوپی)","ماکارونی ریز (مانند سوپی)","1","602",""
"۱ دسته پیازچه، ریز خردشده","دسته پیازچه ریز خردشده","1","602",""
"۲۰۰ گرم راسته یا ران گوساله، نازک برش‌خورده","راسته یا ران گوساله نازک برش‌خورده","1","602",""
"پاستای سوپی","پاستای سوپی","1","616",""
"۱/۴ پیمانه شوید تازه خردشده یا ۱ قاشق غذاخوری شوید خشک","/ شوید تازه خردشده یا قاشق غذاخوری شوید خشک","1","616",""
"۵۰۰ گرم زردآلو، شسته، نصف‌شده و هسته‌گرفته","زردآلو شسته نصف‌شده و هسته‌گرفته","1","1327",""
"۲۵۰ گرم گوشت گوسفند یا گاو، مکعبی","گوشت گوسفند یا گاو مکعبی","1","358",""
"۱ کیلوگرم بادمجان، ورقه‌ای","کیلو بادمجان ورقه‌ای","1","358",""
"۱ عدد مرغ کامل (حدود ۱.۵ کیلوگرم)، خردشده به ۸ تکه با پوست","عدد مرغ کامل (حدود . کیلو) خردشده به تکه با پوست","1","860",""
"۲ قاشق غذاخوری ادویه مرغ سوخاری (از ترکیب زیر)","ادویه مرغ سوخاری (از ترکیب زیر)","1","860",""
"آب یخ، به مقدار لازم","آب یخ","1","860",""
"ترکیب ادویه مرغ سوخاری: ۱ قاشق غذاخوری پودر گشنیز، ۱ قاشق غذاخوری پودر فلفل قرمز، ۱ قاشق غذاخوری پودر سیر، ۱ قاشق غذاخوری پودر فلفل سیاه، ۱ قاشق چای‌خوری پودر زنجبیل، ۱ قاشق چای‌خوری لیموعمانی پودرشده (یا نمک لیمویی)، ۱ قاشق چای‌خوری پودر فلفل سفید، ۲ قاشق غذاخوری نمک","ترکیب ادویه مرغ سوخاری: پودر گشنیز قاشق غذاخوری پودر فلفل قرمز قاشق غذاخوری پودر سیر قاشق غذاخوری پودر فلفل سیاه قاشق چای‌خوری پودر زنجبیل قاشق چای‌خوری لیموعمانی پودرشده (یا نمک لیمویی) قاشق چای‌خوری پودر فلفل سفید قاشق غذاخوری نمک","1","860",""
"۱ پیمانه جو (از شب قبل خیس‌خورده)","جو (از شب قبل خیس‌خورده)","1","604",""
"۲ پیمانه کلم، ریز خردشده","کلم ریز خردشده","1","604",""
"۱ پیمانه گشنیز خردشده و فشرده","گشنیز خردشده و فشرده","1","604",""
"نخود پخته یا کنسروی – ۲ پیمانه (آبکش‌شده)","نخود پخته یا کنسروی (آبکش‌شده)","1","662",""
"پودر فلفل قرمز – ½ قاشق چای‌خوری","پودر فلفل قرمز ½ قاشق چای‌خوری","1","662",""
"پودر زیره – ½ قاشق چای‌خوری","پودر زیره ½ قاشق چای‌خوری","1","662",""
"پودر زردچوبه – ½ قاشق چای‌خوری","پودر زردچوبه ½ قاشق چای‌خوری","1","662",""
"1/2 پیمانه فلفل دلمه‌ای","/2 فلفل دلمه‌ای","1","319",""
"کنجد بو داده به میزان لازم","کنجد بو داده","1","319",""
"۲ کیلوگرم باقالی سبز تازه، پوست دوم گرفته‌شده","کیلو باقالی سبز تازه پوست دوم گرفته‌شده","1","638",""
"۲ تا ۳ قاشق غذاخوری کرفس خردشده","تا کرفس خردشده","1","638",""
"۱ عدد سیب، پوست‌کنده و خردشده","سیب پوست‌کنده و خردشده","1","634",""
"نارگیل تازه یا خشک، به میزان لازم","نارگیل تازه یا خشک","1","634",""
"۵۰۰ گرم سیب‌زمینی، پوست‌کنده","سیب‌زمینی پوست‌کنده","1","644",""
"جوز هندی آسیاب‌شده، یک پنس","جوز هندی آسیاب‌شده یک پنس","1","644",""
"تره یا چایوز تازه خردشده، برای تزیین","تره یا چایوز تازه خردشده","1","644",""
"1 قاشق چای‌خوری بکینگ پودر","قاشق چای‌خوری بکینگ پودر","1","480",""
"روغن، جهت سرخ‌کردن","روغن جهت سرخ‌کردن","1","480",""
"۵۰۰ گرم میگوی تازه، پاک‌شده و رگ‌گیری‌شده","میگوی تازه پاک‌شده و رگ‌گیری‌شده","1","893",""
"۱ قاشق چای‌خوری هل سبز آسیاب‌شده","قاشق چای‌خوری هل سبز آسیاب‌شده","1","893",""
"۱/۲ قاشق چای‌خوری میخک آسیاب‌شده","/ قاشق چای‌خوری میخک آسیاب‌شده","1","893",""
"۵۰۰ گرم مارچوبه، پاک‌شده و خردشده","مارچوبه پاک‌شده و خردشده","1","639",""
"۳ پیمانه شیر پرچرب (هموژنیزه)","شیر پرچرب (هموژنیزه)","1","639",""
"۱۵۰ گرم سبزیجات خرد شده: تره، جعفری، گشنیز، شوید","سبزیجات خرد شده: تره جعفری گشنیز شوید","1","320",""
"۴ قاشق غذاخوری زعفران آبکرده","زعفران آبکرده","1","320",""
"۷۵ گرم خرما، خردشده","خرما خردشده","1","1321",""
"۱ عدد موز رسیده، له‌شده","موز رسیده له‌شده","1","1321",""
"پودر قند، برای تزیین","پودر قند","1","1321",""
"نمک به مقدار دلخواه","نمک به مقدار","1","111",""
"خمیر پاستا","خمیر پاستا","1","111",""
"آرد برای آردپاشی","آرد برای آردپاشی","1","111",""
"۲۵۰ گرم دنبه","دنبه","1","406",""
"نیم پیمانه ماست چکیده بدون چربی","نیم ماست چکیده بدون چربی","1","406",""
"۸ عدد ران مرغ بدون استخوان","ران مرغ بدون استخوان","1","1319",""
"۲۰۰ گرم قارچ، ریز رنده یا خلالی بسیار نازک","قارچ ریز رنده یا خلالی بسیار نازک","1","1319",""
"۲ ساقه پیازچه، نازک حلقه‌شده","ساقه پیازچه نازک حلقه‌شده","1","1319",""
"½ قاشق چای‌خوری پودر زعفران","½ قاشق چای‌خوری پودر زعفران","1","1319",""
"فویل آلومینیومی، برای پیچیدن","فویل آلومینیومی برای پیچیدن","1","1319",""
"۵۰ گرم کرفس رنده شده","کرفس رنده شده","1","540",""
"۵۰ گرم قارچ رنده شده","قارچ رنده شده","1","540",""
"۳ عدد نان تست سرخ شده","نان تست سرخ شده","1","540",""
"۲ لیتر استاک مرغ","استاک مرغ","1","540",""
"۲ تا ۳ قاشق غذاخوری خامه (اختیاری)","تا خامه (اختیاری)","1","642",""
"نان تست مکعبی برشته (کروتان)، برای سرو","نان تست مکعبی برشته (کروتان) برای سرو","1","642",""
"خمیر کانلونی: ۵۰۰ گرم","خمیر کانلونی:","1","112",""
"گوشت مغز ران گوساله: ۷۵۰ گرم","گوشت مغز ران گوساله:","1","112",""
"پیاز داغ عسلی: ۲.۵ قاشق سوپخوری","پیاز داغ عسلی: . قاشق سوپخوری","1","112",""
"فلفل سبز: ۱۰۰ گرم","فلفل سبز:","1","112",""
"آرد سفید: ۱ قاشق سوپخوری","آرد سفید: قاشق سوپخوری","1","112",""
"رب گوجه‌فرنگی: ۲ قاشق سوپخوری","رب گوجه‌فرنگی: قاشق سوپخوری","1","112",""
"۵ پیمانه آب مرغ یا گوشت","آب مرغ یا گوشت","1","167",""
"۱٫۵ پیمانه برنج","٫ برنج","1","167",""
"۱ پیمانه سبزیجات خردشده (مانند فلفل دلمه‌ای، پیاز، اسفناج)","سبزیجات خردشده (مانند فلفل دلمه‌ای پیاز اسفناج)","1","1472",""
"۱ پیمانه پنیر رنده‌شده (مانند موزارلا یا چدار)","پنیر رنده‌شده (مانند موزارلا یا چدار)","1","1472",""
"۱/۲ پیمانه گوشت پخته خردشده (مانند ژامبون، بیکن یا سوسیس) – اختیاری","/ گوشت پخته خردشده (مانند ژامبون بیکن یا سوسیس) اختیاری","1","1472",""
"سبزی تازه (مانند جعفری یا ریحان) برای تزیین – اختیاری","سبزی تازه (مانند جعفری یا ریحان)  اختیاری","1","1472",""
"۵۰۰ گرم چغاله بادام تازه","چغاله بادام تازه","1","1125",""
"۵۰۰ تا ۷۰۰ گرم گوشت خورشتی (گوسفند یا گوساله)، خردشده","تا گوشت خورشتی (گوسفند یا گوساله) خردشده","1","1125",""
"نصف پیمانه آب‌لیمو یا آبغوره (به میزان دلخواه)","نصف آب‌لیمو یا آبغوره (به میزان )","1","1125",""
"۱۰۰ گرم کره سرد، خردشده","کره سرد خردشده","1","854",""
"۲ قاشق غذاخوری روغن جامد (حدود ۴۰ گرم)","روغن جامد (حدود گرم)","1","854",""
"۱ عدد زرده تخم‌مرغ (به‌علاوه کمی برای رومال)","زرده تخم‌مرغ (به‌علاوه  برای رومال)","1","854",""
"۳۵۰ گرم گوشت مرغ، مکعبی خردشده","گوشت مرغ مکعبی خردشده","1","854",""
"۱ عدد کدو سبز متوسط، نگینی","کدو سبز متوسط نگینی","1","854",""
"۱ عدد فلفل دلمه‌ای، نگینی","فلفل دلمه‌ای نگینی","1","854",""
"۵۰۰ گرم گوشت شترمرغ، خردشده به قطعات ۱×۴ سانتی‌متری","گوشت شترمرغ خردشده به قطعات × سانتی‌متری","1","857",""
"۱ عدد فلفل قرمز تازه، ریز خردشده","فلفل قرمز تازه ریز خردشده","1","857",""
"فلفل دلمه‌ای رنگی کوچک، خردشده درشت","فلفل دلمه‌ای رنگی کوچک خردشده درشت","1","857",""
"سیخ چوبی، از قبل در آب خیس‌خورده","سیخ چوبی از قبل در آب خیس‌خورده","1","857",""
"۱ پیمانه زیتون سبز، ریز خردشده","زیتون سبز ریز خردشده","1","857",""
"۱ عدد پیاز قرمز، نگینی ریز","پیاز قرمز نگینی ریز","1","857",""
"۴ عدد گوجه‌فرنگی، فیله و ریز خردشده","گوجه‌فرنگی فیله و ریز خردشده","1","857",""
"۱ عدد فلفل دلمه‌ای قرمز، نگینی ریز","فلفل دلمه‌ای قرمز نگینی ریز","1","857",""
"۲ قاشق غذاخوری روغن زیتون (برای سالسا)","روغن زیتون (برای سالسا)","1","857",""
"لپه زرد، خیسانده به مدت ۳۰ تا ۶۰ دقیقه","لپه زرد خیسانده به مدت تا دقیقه","1","1123",""
"سیب‌زمینی، برای سرخ کردن و تزیین","سیب‌زمینی برای سرخ کردن و تزیین","1","1123",""
"۳۰۰ گرم هویج، پوست‌گرفته و رنده درشت","هویج پوست‌گرفته و رنده درشت","1","660",""
"۱/۲ پیمانه کشمش، شسته و کاملاً آبکش‌شده","/ کشمش شسته و کاملاً آبکش‌شده","1","660",""
"۱/۲ قاشق چای‌خوری دارچین آسیاب‌شده","/ قاشق چای‌خوری دارچین آسیاب‌شده","1","660",""
"¼ قاشق چای‌خوری رزماری (اختیاری)","¼ قاشق چای‌خوری رزماری (اختیاری)","1","685",""
"¼ قاشق غذاخوری فلفل سیاه","¼ فلفل سیاه","1","685",""
"۴ پیمانه فلفل دلمه‌ای شیرین، خلالی‌شده","فلفل دلمه‌ای شیرین خلالی‌شده","1","685",""
